id,delta,X,V1,V2,V3,V4,V5,V6,Z
1,1,0.125305412158923,-0.40189371111677,1.02194731073387,1.35379072763577,-0.283397519431228,-0.19602694743006,-0.501226679644745,1
2,0,0.570750601606969,0.40104019706638,0.530910194823759,-1.0664192146932,0.289039134552898,0.370652692482102,0.691833365694755,0
3,1,0.0168259459627738,1.32922224421544,0.894812875492312,1.14833486554787,-0.90386023147136,-0.222366542759882,0.170622553559702,1
4,0,0.937493959234344,0.692257560652828,0.838634277568821,0.262603405316319,-1.11658988190093,-0.0816118203698798,-0.62181152127191,0
5,1,0.0535025212663802,-0.566568276182088,0.864650747857549,-0.495149841394421,1.24119930571341,1.59582827140901,0.929288342043905,1
6,0,0.0138379436721285,1.21418051499375,1.46296753568945,0.297175653671323,-0.878548963361171,-0.666292846219842,-0.435585335772022,0
7,0,0.0372847795781917,0.512616329592779,0.385771643345587,2.18419739399811,1.99726169420959,0.849086690316117,0.457700749823086,1
8,1,0.0272327207250269,1.99026295158075,1.86215694374643,1.74853269552469,1.49071688156064,2.09780753912123,1.71809179549735,1
9,1,0.0209205725507058,0.546888882266208,1.13767051859918,0.315593447171502,-0.902935252672854,-0.514742868041173,-1.02511094278412,1
10,0,0.584251084905567,0.09713277973172,0.220301173353147,0.273571109532383,-1.34574793421357,-0.63622947085547,-1.34455264801979,1
11,0,0.575930531969906,-2.7645002039996,-2.36278686942184,-2.17482984878362,0.18626834820779,0.664611616224716,0.958482433114144,0
12,0,0.412469740289113,-1.11434657475386,-0.805295463501517,-0.853996175772012,-0.862065445653453,-0.681711509414146,-0.809765339193053,0
13,1,0.0994136751749428,-0.768852110840859,-1.74167851093849,-0.192993649281621,0.878542946255308,0.725769221007966,-0.0901207897873628,1
14,1,0.161471894803507,-1.04105029203109,-0.668141721785894,-0.97041650123364,0.546697696141944,-0.78275999023338,-0.250869131581956,1
15,1,0.117922612689721,1.40971376379707,0.882628828711423,-0.500875255070496,1.2023011019612,1.05952182675626,0.723058721209601,0
16,1,0.192754019784035,-0.628834750841367,0.308950437417757,0.0460366042260764,1.50422420479247,0.882271307031249,0.883610067582273,0
17,0,0.119066202619335,-0.596834382130899,-0.0615911119415591,0.596143617852611,-0.0453793116907062,0.118566340978807,0.0999337491945682,0
18,1,0.0807655511359222,0.970171832754246,-0.31106897226385,-0.429775319505699,1.473641226601,1.63893669625043,1.44056450821644,1
19,0,0.0875027219176696,0.152485313354214,1.04163791544252,-0.878604939051996,-0.612278976720935,-0.511359299707099,-0.395917836731593,1
20,1,0.044620187560076,-0.0458275854121916,0.933255891664361,0.358647087873824,0.0868841410030704,0.259904369054017,0.693578073815656,0
21,0,0.0998196265020679,-0.196272363474508,0.290950725428988,-0.393456989355148,-1.74845718779866,-1.2539533992588,-2.10467656975577,1
22,0,0.397331522408395,-1.48160595699184,-1.54074469517596,-1.30674510561611,0.427000268121931,0.312411604018704,-0.499784019249763,0
23,0,0.650396790861364,-0.554819367254447,-0.701944548875772,-0.660610089547751,0.176848533501044,-0.065093780176694,0.431802066665878,0
24,1,0.175748529320799,1.15749543761181,0.937770861090039,1.4043410460071,0.782815924025736,0.489166781457788,1.41018775663899,0
25,1,0.0195632442609952,-1.30521548686706,-1.10675728106748,-1.1808354015879,-0.641911949573608,-0.405753655333282,-0.680861464499284,1
26,1,0.0625965043993055,1.54430815333082,1.60433150221346,0.296084066156018,0.454485436116353,0.131053177818544,0.692295184479222,1
27,0,0.613048345608085,-0.788044698376034,-1.21517253088509,-0.368556625247943,-1.29518613587402,-1.61753478901908,-1.7866016652562,0
28,0,0.702184315969111,-0.922132057445279,0.0818261739012306,-0.896533785876698,-0.468670302056831,0.0712458479974772,-1.36146642538819,0
29,0,0.287641457718193,0.341947508797609,-0.229963009315898,0.861715640760086,-0.934219839255865,-0.749999262931081,-0.128677568191416,1
30,1,0.0802446875761635,-0.139271091873598,-0.572242795236785,-0.506871707235682,-0.319927306652933,-0.455163617128817,-0.928676527000776,1
31,1,0.025625638113028,0.981610767082439,1.25006223207698,0.310058119439237,0.412213464673178,0.443257774550132,0.113107624144621,1
32,0,0.278425404428718,0.0105291540126246,-1.33366890707435,-1.35438861976197,-0.221932315367625,-1.09261918485763,-0.106636517882553,1
33,0,0.448855339347219,-1.10151335898753,-2.07293023636027,-1.92512477578747,-0.697126639457059,-0.680435565495191,-1.46138547826952,1
34,1,0.0149161429111606,1.11255081595555,1.60903000744573,0.459232128158091,2.0159633621261,1.42030541741886,0.790770119299692,1
35,0,0.937606853835865,-0.356673812105566,-0.184035001571985,-2.09681683131073,-0.642787164100893,-0.0598400645294529,-0.783035351877185,0
36,1,0.0937736888677083,0.478548379490367,1.65068456891142,1.48536974839189,-1.42677041640641,0.0497584817102984,-1.44578976896477,1
37,1,0.212330883973318,1.00795405993636,0.654987187978405,0.368108509462781,0.148831825409544,0.780941026637428,-0.142775450263262,1
38,1,0.0219126604914255,-0.656440730687157,-3.42504389722054e-06,0.468487819009913,2.26843947347363,2.67159448771141,1.52799341824402,1
39,0,0.325534009929456,0.508312577938185,1.23117746131342,0.415512284808308,-0.789360578505515,-2.11165454521952,-1.98242364547522,0
40,1,0.0157325097927172,-0.0039406480375404,-0.846553664138675,-0.246287658890588,0.500396590526048,-0.988820864701204,-0.533896644241691,0
41,0,0.0755594437533943,-0.47458309499763,0.635426671094608,-0.533798173220678,-0.768962947481661,-0.334045312107897,-0.390983822209811,0
42,1,0.0211005168121101,-0.299473166882537,-0.564883565064236,1.32541606761466,-1.9868239499537,-2.26954037523408,-1.67609898372078,1
43,1,0.0716743493044882,0.46882060118621,0.537353054407645,0.850383359960615,-0.190454806806608,-1.0608051354312,-1.53687835547512,1
44,0,0.850481203400336,-0.401666518198275,-0.319852516661698,-0.970247967105447,0.43332554922409,0.666758485446119,0.54495101742067,0
45,1,0.0134837438611823,0.94164916537594,0.388372731675184,0.108182322925103,0.534644908688765,1.22616040365531,1.53129059478844,1
46,0,0.317735980732489,0.577085436690612,0.818751451255224,-0.526896115145002,-0.116629043872631,-0.0974878312978347,-0.604697920639056,0
47,0,0.722769819557812,-0.220685872291848,-0.36208043219145,-0.909510440112045,0.037193046998354,-0.399196739327428,0.0427356848824327,0
48,1,0.0424138633924587,0.736421834653976,0.666797221796709,-0.443042964431019,1.32036224275045,0.388790527209259,1.29711715177584,1
49,0,0.0616226583318727,1.2889745094279,1.54413781519531,2.08083026263692,0.624917351434609,-0.132722432223238,0.577443316850716,0
50,0,0.663442898196919,2.36537174279917,0.373927225880595,0.354823808984033,0.352320164753757,0.9286797918775,0.175510905530321,0
51,1,0.120815098107814,0.273093882306073,-0.408592907581173,1.26654120675451,0.258106951377389,0.592007520396716,-0.179797598845396,1
52,1,0.0191757049079238,-0.905708156594765,-0.0776762981012581,0.652559823465575,1.29557299870219,1.10674391039537,1.15954844666322,0
53,1,0.0217901517734687,-0.964635781226083,-0.092095264440718,-0.447727545382679,1.69537309842153,1.2108824863527,0.671470844868972,1
54,0,0.597573150882482,0.394948759370419,0.657962910330396,-0.432590816198418,-1.02691993864024,-0.620191964843873,-0.873508083519728,0
55,1,0.203222866587235,0.963827324222425,0.723860793491705,0.211429829898001,-0.225348574691458,-0.322439589039605,-0.657713377626841,1
56,0,0.0710738343894787,0.165407943671056,-1.14409141455475,0.328003621246631,-0.455846227632205,-0.233327409484385,-0.0132229131226027,0
57,1,0.341234362381983,-0.781106377888552,-0.11955853177888,-0.596213331036869,0.107410595068941,-0.92749660738939,0.560099287952372,0
58,1,0.0608542355299138,-0.158144141384192,-0.572063490948356,0.969316199113769,0.129374035038446,-1.29704774205851,-0.289154268593039,1
59,0,0.00430986038873016,-0.748056389227121,-0.554703464205554,-0.520150619477847,-0.0563164274432084,0.717930664974498,-0.0862268974174794,1
60,0,0.630776674586129,0.178526412309532,0.261170193420812,-0.772533023033096,-1.43150804819238,-0.668828676036995,-1.16069029915287,0
61,1,0.00540640676261095,1.67013152045746,0.36317174113648,1.0984390238072,-0.578988719533847,0.837941326246686,0.105537250564646,0
62,0,0.446131839506425,0.00294805230225098,-0.514263141525218,-0.466180779154836,-0.183726228279501,-0.234163852617667,0.0958239354658065,0
63,0,0.874189203094432,0.745737848685069,0.190292533070988,0.455713472784668,-1.24292457057622,-1.18689192833869,-0.674268313981101,0
64,1,0.318491094633769,-0.242464461286691,-0.933847246037104,-0.668737948812544,-0.174361251055894,-0.063625100231413,-0.809968033607199,0
65,1,0.00608626052785777,-0.514212013894062,-0.55586044627923,-1.23597891013582,0.426179195732791,1.40507704748892,0.171090174534293,1
66,1,0.0247081816370791,-0.272077561824577,-0.553928134679981,-0.969625774356902,2.50871833854094,2.24697371359312,0.679345749356887,1
67,1,0.26816377145722,-0.144014298163867,0.272399655056972,0.0666258453834962,0.651020145184841,-0.526541445766625,0.413386451604388,1
