id,delta,X,V1,V2,V3,V4,V5,V6,Z
1,0,0.607550299133461,-0.407652633199727,0.300482323392142,0.797662961470956,-2.46147037669397,-1.91574183364338,-1.15465595228602,0
2,1,0.00563575241485825,0.449317620282074,-0.568534001049992,1.21843895883373,0.928429693622965,1.24707593786486,1.2867506898089,1
3,0,0.415376455043999,-0.88605019932599,-1.76776864223458,-0.638529542212346,-1.42372326916569,-0.774398373767254,-0.38335036187448,0
4,1,0.00300067302173801,0.568285710313528,0.271794887738745,0.481520872381481,-0.299904409345387,0.263059824402977,0.0830321914681937,1
5,1,0.0019373580068125,-0.431812731307681,-0.841817024299995,-0.812173261783567,0.470464097836847,0.871406560352217,0.078695776129917,0
6,0,0.0524026021080585,-0.999404692590858,-2.21808719518818,-2.69315022160572,-1.7099087842038,-0.988101199276473,-0.826045851956502,0
7,0,0.72751791083111,-0.265251026282246,-0.610098204002208,-0.934106596131446,0.336130735322025,0.540850980931443,0.74418673599931,1
8,1,0.0286868095512114,-0.469057500907203,0.327356734440358,-0.980002605389025,1.25197334789228,0.855385292092915,0.472449994539191,1
9,1,0.16228333630456,-0.342003370698358,-0.378380096985983,0.340921235429797,-0.396330514047067,-0.0630047344500251,0.259494449565049,0
10,0,0.868594367822937,-0.116496758056181,-0.636721817045772,0.393424999184278,1.94611251563752,0.175141002669132,1.32212003948678,0
11,1,0.00387476521209873,-0.718871867812506,1.7855005744169,0.700663215308292,1.04271236420035,-0.0906508783112884,1.37197442292848,1
12,1,0.0377797846388246,0.771339444060098,1.0725674249162,-0.0968946039345017,-0.284144443817122,-0.231989905302757,0.898471271887903,0
13,0,0.783873672409838,-0.655504786373801,-1.43771047919995,-1.56750046401277,-0.569878029184259,-1.20982393626551,-1.71001923443866,1
14,1,0.0212080989609564,-1.73750623120467,-1.07768099585743,-1.3853539019474,-0.185161121641015,0.366563582553739,0.0251384329847801,1
15,1,0.43787426069516,1.78499380961827,-0.557218831281254,1.0522515774684,-1.8523334687275,-1.47434908281437,-1.35661580241551,0
16,1,0.00758879730820805,0.471027509523724,0.786879712332911,0.493020894140281,0.770562977006809,-0.209217444314819,0.0370504487498863,0
